hour,day_of_week,month,is_weekend,is_rush_hour,is_night,is_monsoon,weather_main,road_type,is_junction,is_urban,is_highway,Year,Number of Vehicles Involved,Number of Casualties,Number of Fatalities,Speed Limit (km/h),Driver Age,year,target_binary
21.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,5,2,3,110,48,2025.0,0
7.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2021,3,5,2,96,39,2025.0,0
11.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2020,3,2,5,46,43,2025.0,1
19.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2018,1,0,4,114,70,2025.0,1
0.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2018,4,1,5,86,51,2025.0,1
12.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2019,3,1,2,95,70,2025.0,1
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2021,3,1,5,111,43,2025.0,1
12.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2018,3,2,3,107,24,2025.0,0
21.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2021,2,1,3,107,53,2025.0,0
11.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2021,1,10,3,97,45,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2022,1,0,1,78,27,2025.0,1
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2022,4,6,0,37,23,2025.0,0
8.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2022,1,1,3,102,64,2025.0,0
7.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2020,1,2,3,42,60,2025.0,1
3.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2018,5,8,5,38,45,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2018,2,7,0,106,22,2025.0,1
7.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2022,5,10,2,50,33,2025.0,0
8.0,5.0,10.0,1,1,0,0,Clear,rural,0,1,0,2018,4,3,1,48,29,2025.0,1
13.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,2,8,5,32,62,2025.0,0
14.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2020,1,6,5,54,51,2025.0,1
20.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,4,0,1,31,44,2025.0,1
22.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2023,3,6,3,55,64,2025.0,1
8.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2019,4,2,0,113,38,2025.0,0
11.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2022,3,1,4,36,21,2025.0,1
4.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2021,5,7,2,70,63,2025.0,0
4.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2021,5,9,2,48,23,2025.0,1
12.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2022,3,10,0,34,67,2025.0,0
4.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2022,3,8,1,105,35,2025.0,0
14.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,1,8,4,66,24,2025.0,1
2.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2018,3,8,0,36,18,2025.0,1
16.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,1,8,2,109,51,2025.0,1
9.0,5.0,10.0,1,1,0,0,Clear,rural,0,1,0,2021,4,3,0,119,66,2025.0,1
7.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2019,1,10,1,118,44,2025.0,1
1.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2020,5,2,4,74,26,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2023,2,6,3,39,23,2025.0,1
15.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2018,2,8,2,75,45,2025.0,0
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2022,4,10,3,114,22,2025.0,0
4.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2021,3,7,1,45,24,2025.0,1
1.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2021,4,0,2,119,18,2025.0,1
5.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2020,2,7,4,105,60,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2021,5,5,0,35,62,2025.0,0
16.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2019,5,6,5,79,65,2025.0,1
3.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2021,5,0,5,51,29,2025.0,1
8.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2018,1,10,4,94,70,2025.0,0
17.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2019,1,4,1,110,62,2025.0,1
12.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2020,5,6,0,112,34,2025.0,1
8.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2022,4,3,2,115,70,2025.0,1
4.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2020,4,9,1,113,47,2025.0,1
4.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2022,4,2,2,44,65,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2021,4,8,1,44,29,2025.0,1
3.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2020,2,9,5,120,44,2025.0,0
3.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2021,5,0,5,85,46,2025.0,0
21.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2021,3,8,5,94,19,2025.0,1
2.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2020,2,4,4,63,63,2025.0,1
4.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2021,1,2,0,34,30,2025.0,0
2.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2021,1,5,4,33,66,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2020,2,2,5,58,47,2025.0,1
12.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2019,2,10,5,111,60,2025.0,1
18.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2022,5,10,2,90,66,2025.0,1
0.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2023,3,4,0,37,36,2025.0,0
13.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2023,1,7,4,68,19,2025.0,1
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2020,3,0,5,51,34,2025.0,1
11.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2019,2,0,3,108,33,2025.0,0
22.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2021,4,0,2,37,20,2025.0,0
16.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2023,5,1,3,77,46,2025.0,1
20.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2020,1,7,5,108,37,2025.0,1
20.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2021,5,4,4,70,46,2025.0,0
3.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2021,5,8,4,53,51,2025.0,0
0.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2023,1,10,1,90,64,2025.0,0
12.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2023,3,2,5,54,23,2025.0,0
16.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,3,4,3,41,45,2025.0,0
18.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2018,1,5,1,82,49,2025.0,1
8.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2021,2,0,4,30,34,2025.0,1
18.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2020,4,3,5,111,59,2025.0,0
13.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2021,1,1,4,116,41,2025.0,0
8.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2019,3,4,4,54,19,2025.0,1
2.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2020,3,1,5,64,59,2025.0,1
22.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2019,5,9,2,65,52,2025.0,0
11.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2021,2,9,3,77,54,2025.0,1
9.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2019,2,2,2,87,23,2025.0,1
5.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2018,3,2,3,68,26,2025.0,1
9.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2020,2,10,3,95,63,2025.0,0
20.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2020,2,5,1,117,34,2025.0,0
17.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2022,4,6,3,114,48,2025.0,0
20.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2023,1,8,4,84,68,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2023,5,10,1,80,32,2025.0,1
1.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2023,5,8,1,81,58,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2018,4,9,0,102,50,2025.0,1
16.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2023,4,5,3,31,39,2025.0,0
7.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2019,3,7,1,85,29,2025.0,1
19.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2018,2,5,2,86,56,2025.0,1
18.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2019,4,5,2,74,38,2025.0,1
23.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2022,5,2,4,36,37,2025.0,1
10.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2018,3,5,3,120,39,2025.0,1
17.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2019,4,7,3,118,38,2025.0,1
1.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,4,1,1,104,45,2025.0,1
14.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,4,1,4,77,70,2025.0,1
13.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2022,3,5,0,78,28,2025.0,0
17.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2020,5,10,5,72,19,2025.0,1
9.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2019,1,6,0,75,57,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,1,5,2,72,53,2025.0,0
2.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2023,3,2,4,31,27,2025.0,0
12.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2019,1,5,2,96,21,2025.0,1
11.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2023,4,0,1,77,62,2025.0,0
13.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,4,9,1,53,61,2025.0,1
21.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2020,5,2,0,33,48,2025.0,1
13.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2020,5,0,0,60,44,2025.0,1
4.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2021,5,8,3,116,67,2025.0,1
12.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2023,4,10,1,63,21,2025.0,1
2.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2022,3,1,0,46,62,2025.0,1
7.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2023,2,0,1,95,66,2025.0,0
15.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2021,2,7,0,39,21,2025.0,1
17.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2018,3,5,0,120,47,2025.0,1
0.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2018,3,10,1,54,45,2025.0,1
21.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2022,1,9,1,110,67,2025.0,0
15.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2020,2,4,1,65,67,2025.0,0
11.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,4,10,5,84,56,2025.0,1
13.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,2,8,2,98,54,2025.0,0
22.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2021,3,0,1,91,57,2025.0,0
1.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2020,5,4,4,114,20,2025.0,1
2.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2018,2,10,1,112,31,2025.0,0
20.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2019,4,0,2,67,55,2025.0,0
8.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2023,4,6,0,56,38,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2023,2,9,2,117,59,2025.0,0
6.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,1,9,3,65,47,2025.0,1
21.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2021,1,10,4,39,66,2025.0,0
9.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2018,4,9,4,79,58,2025.0,0
16.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2019,1,9,2,94,55,2025.0,1
14.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2018,2,4,4,105,62,2025.0,1
0.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2023,3,6,5,58,67,2025.0,0
0.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2021,2,4,1,107,51,2025.0,1
12.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2020,3,5,0,86,42,2025.0,1
19.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2021,3,9,5,91,37,2025.0,1
5.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2021,3,6,2,72,32,2025.0,1
8.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2019,4,10,0,49,56,2025.0,1
19.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2019,1,10,3,104,53,2025.0,1
7.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2019,3,8,4,45,34,2025.0,0
13.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2021,2,9,3,75,44,2025.0,1
11.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2020,5,5,4,101,26,2025.0,0
9.0,5.0,10.0,1,1,0,0,Other,urban,0,1,0,2019,5,6,3,59,69,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2020,5,8,3,97,59,2025.0,1
1.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2018,1,4,1,71,19,2025.0,1
0.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2022,3,1,4,46,63,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2020,4,3,1,55,62,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2022,3,8,5,112,24,2025.0,1
5.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2023,2,5,0,75,41,2025.0,0
15.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2019,2,3,1,80,28,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2019,3,5,2,112,27,2025.0,0
3.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2023,5,9,1,35,21,2025.0,1
14.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2021,1,8,3,63,45,2025.0,0
1.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2023,2,10,1,116,55,2025.0,1
23.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2022,4,0,5,65,62,2025.0,1
5.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2019,4,6,3,90,26,2025.0,1
2.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2023,3,0,5,88,69,2025.0,1
7.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2020,2,9,0,104,37,2025.0,1
3.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2018,5,9,3,73,57,2025.0,0
6.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,1,0,2,84,27,2025.0,0
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2023,1,8,1,105,38,2025.0,0
23.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2021,3,0,3,119,51,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2018,1,9,2,79,64,2025.0,1
2.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2022,2,7,3,34,31,2025.0,1
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2020,4,2,1,59,52,2025.0,1
1.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2022,1,2,3,54,55,2025.0,1
17.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2019,2,7,4,108,45,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2019,5,5,1,60,33,2025.0,1
17.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2021,4,1,5,93,67,2025.0,1
13.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2023,5,7,5,42,55,2025.0,0
2.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2023,5,0,0,75,67,2025.0,1
5.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2022,2,8,4,31,49,2025.0,1
16.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2021,5,2,5,93,47,2025.0,0
20.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2020,2,8,4,75,27,2025.0,1
22.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2020,5,5,2,114,25,2025.0,1
14.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2019,3,4,0,39,23,2025.0,1
8.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2018,2,2,2,50,28,2025.0,0
3.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2021,5,0,2,49,36,2025.0,1
10.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2021,1,3,1,96,32,2025.0,1
12.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2018,1,1,1,98,52,2025.0,0
19.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2023,3,0,1,75,63,2025.0,0
15.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2022,1,1,3,75,64,2025.0,1
20.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2020,4,6,3,33,57,2025.0,0
20.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,3,8,3,114,29,2025.0,1
19.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2019,4,1,5,92,63,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2021,5,2,2,85,28,2025.0,0
1.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2020,3,1,3,94,51,2025.0,1
17.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2020,2,10,0,98,66,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2022,1,5,2,65,30,2025.0,0
13.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2020,3,6,5,36,56,2025.0,1
9.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2021,3,1,4,72,60,2025.0,1
14.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2018,4,8,1,35,42,2025.0,1
18.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2023,3,0,3,96,49,2025.0,1
1.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2019,4,1,0,59,35,2025.0,0
0.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2021,2,7,0,64,69,2025.0,1
23.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2023,3,5,1,83,24,2025.0,1
14.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2018,2,7,1,118,55,2025.0,0
6.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2023,3,1,2,107,64,2025.0,1
10.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,3,9,0,90,65,2025.0,1
18.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2023,5,10,2,114,51,2025.0,0
6.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2021,1,5,5,93,47,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2018,2,7,4,67,66,2025.0,1
18.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2020,2,0,5,65,35,2025.0,1
5.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2021,2,3,0,74,35,2025.0,0
11.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2023,4,3,1,41,46,2025.0,0
11.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2023,1,9,1,100,28,2025.0,0
21.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2018,5,10,0,59,20,2025.0,1
10.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2018,3,5,1,87,23,2025.0,1
20.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2019,2,1,2,116,62,2025.0,1
19.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2023,5,2,5,90,35,2025.0,0
17.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2019,5,8,0,99,42,2025.0,1
16.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2023,4,9,4,102,59,2025.0,0
17.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2021,3,10,5,112,20,2025.0,1
15.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2020,4,0,3,58,18,2025.0,1
2.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2021,1,7,2,67,58,2025.0,1
14.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2019,4,5,0,33,63,2025.0,1
23.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2022,5,2,3,53,54,2025.0,0
2.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2018,3,5,5,60,56,2025.0,1
5.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2020,3,10,2,112,54,2025.0,1
11.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2021,5,2,5,30,27,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2021,4,5,4,119,29,2025.0,1
10.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2020,5,9,5,35,59,2025.0,1
13.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2019,1,5,1,87,21,2025.0,1
6.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,4,0,0,91,29,2025.0,0
6.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,2,8,4,59,56,2025.0,1
6.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,5,3,0,61,18,2025.0,1
2.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2022,1,8,2,81,18,2025.0,1
17.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2021,2,10,4,38,25,2025.0,1
17.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2022,1,1,0,113,33,2025.0,0
14.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2023,1,1,1,75,62,2025.0,1
23.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2020,5,7,1,112,21,2025.0,0
9.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2022,3,3,2,100,45,2025.0,1
16.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2021,3,3,4,80,60,2025.0,1
11.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2023,2,4,3,30,22,2025.0,0
1.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2019,2,6,5,92,56,2025.0,0
10.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,2,3,4,86,48,2025.0,1
3.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2020,2,4,1,38,53,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2023,1,10,2,117,42,2025.0,0
1.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2019,2,1,0,87,49,2025.0,1
12.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2019,5,1,4,75,39,2025.0,1
19.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2023,2,9,5,86,21,2025.0,1
6.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2019,2,4,3,118,63,2025.0,0
4.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2022,1,10,2,59,35,2025.0,1
2.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2022,4,0,3,103,27,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,urban,0,1,0,2019,4,0,4,115,27,2025.0,1
5.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2023,2,0,0,99,59,2025.0,0
14.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2018,2,1,5,101,45,2025.0,0
7.0,5.0,10.0,1,1,0,0,Other,urban,0,1,0,2019,3,3,5,55,37,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2022,3,10,3,114,18,2025.0,0
20.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2018,5,6,5,55,47,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2023,4,2,5,117,52,2025.0,1
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2022,4,0,2,92,59,2025.0,0
16.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2021,5,1,2,55,24,2025.0,1
1.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2023,4,4,1,70,47,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2021,1,9,2,75,54,2025.0,0
7.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2023,1,6,2,80,41,2025.0,1
0.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2020,5,7,5,87,27,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2021,2,6,2,94,48,2025.0,1
20.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2020,3,0,4,79,54,2025.0,1
13.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2021,1,3,0,102,58,2025.0,1
17.0,5.0,10.0,1,1,0,0,Clear,urban,0,1,0,2019,3,0,2,32,70,2025.0,0
17.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2023,4,9,4,70,66,2025.0,1
11.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2018,3,4,2,46,36,2025.0,1
13.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,2,5,1,81,68,2025.0,0
13.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2020,5,9,0,76,19,2025.0,1
12.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2018,4,9,0,50,19,2025.0,0
